Time ,Opposite Team,Toss,Batting Sequence,Match Score,Match_Stadium,Captain,Head Coach,No of Blowers,No of All Rounders,No of Batsman,Result
D/N,KKR,Won,1,4,OTHERS,Sachin Tendulkar,Mahela Jayawardene,4,3,3,Win
N,OTHERS,Won,1,3,OTHERS,Sachin Tendulkar,Mahela Jayawardene,3,4,3,Lost
N,KKR,Lost,1,3,OTHERS,Sachin Tendulkar,Mahela Jayawardene,3,4,3,Win
N,OTHERS,Won,2,3,OTHERS,Sachin Tendulkar,Mahela Jayawardene,3,4,3,Win
N,OTHERS,Won,2,3,OTHERS,Sachin Tendulkar,Ricky Ponting,3,4,3,Win
N,KKR,Won,1,3,OTHERS,Sachin Tendulkar,Ricky Ponting,3,4,3,Win
D/N,OTHERS,Won,1,3,OTHERS,Sachin Tendulkar,Ricky Ponting,4,3,3,Win
N,SRH,Won,1,3,OTHERS,Sachin Tendulkar,Ricky Ponting,4,3,3,Win
N,RCB,Lost,1,3,OTHERS,Sachin Tendulkar,Ricky Ponting,4,3,3,Lost
D/N,KXIP,Lost,1,2,OTHERS,Sachin Tendulkar,Ricky Ponting,3,4,3,Lost
N,KKR,Won,1,3,"Wankhede Stadium, Mumbai",Harbhajan Singh,Ricky Ponting,3,3,4,Lost
N,OTHERS,Lost,2,3,OTHERS,OTHERS,Ricky Ponting,2,4,4,Lost
D/N,SRH,Lost,2,3,OTHERS,OTHERS,Ricky Ponting,2,4,4,Win
N,RCB,Won,2,2,OTHERS,OTHERS,Ricky Ponting,2,4,4,Win
N,KXIP,Won,2,3,"Wankhede Stadium, Mumbai",Sachin Tendulkar,Ricky Ponting,2,4,4,Win
N,DC,Won,2,1,"Wankhede Stadium, Mumbai",Sachin Tendulkar,Ricky Ponting,2,4,4,Win
D/N,OTHERS,Won,2,3,"Wankhede Stadium, Mumbai",Sachin Tendulkar,Ricky Ponting,2,4,4,Lost
N,KKR,Won,2,3,OTHERS,Rohit Sharma,Ricky Ponting,4,4,2,Lost
D/N,KXIP,Lost,2,2,"MA Chidambaram Stadium, Chepauk, Chennai",Rohit Sharma,Ricky Ponting,3,3,4,Lost
N,RR,Won,2,4,OTHERS,Rohit Sharma,Ricky Ponting,3,3,4,Win
N,CSK,Won,2,4,OTHERS,Rohit Sharma,Ricky Ponting,3,5,2,Lost
N,RCB,Lost,2,3,OTHERS,Rohit Sharma,Ricky Ponting,2,3,5,Win
N,DC,Won,2,3,"Arun Jaitley Stadium, Delhi",Rohit Sharma,Ricky Ponting,3,2,5,Win
N,SRH,Lost,2,3,"M.Chinnaswamy Stadium, Bengaluru",Rohit Sharma,Ricky Ponting,4,4,2,Lost
D/N,RR,Lost,2,3,OTHERS,Rohit Sharma,Ricky Ponting,4,3,3,Lost
N,KXIP,Lost,2,3,OTHERS,Rohit Sharma,Ricky Ponting,4,3,3,Lost
N,DC,Lost,2,3,OTHERS,Rohit Sharma,Ricky Ponting,2,5,3,Lost
N,CSK,Won,2,3,"Wankhede Stadium, Mumbai",Rohit Sharma,Ricky Ponting,3,4,3,Lost
N,RCB,Won,2,3,OTHERS,Rohit Sharma,Ricky Ponting,4,2,4,Win
N,KKR,Lost,2,3,OTHERS,Rohit Sharma,Ricky Ponting,5,2,3,Win
N,SRH,Won,2,1,"Wankhede Stadium, Mumbai",Rohit Sharma,Ricky Ponting,3,3,4,Win
N,CSK,Won,1,4,OTHERS,Rohit Sharma,Ricky Ponting,3,3,4,Win
N,CSK,Won,2,1,OTHERS,Rohit Sharma,Ricky Ponting,3,3,4,Win
N,KKR,Won,2,3,OTHERS,Rohit Sharma,John Wright,4,3,3,Lost
N,RCB,Lost,1,3,OTHERS,Kieron Pollard,John Wright,3,3,4,Lost
N,CSK,Lost,2,2,"MA Chidambaram Stadium, Chepauk, Chennai",Rohit Sharma,John Wright,3,4,3,Lost
N,DC,Won,1,2,"MA Chidambaram Stadium, Chepauk, Chennai",Rohit Sharma,John Wright,3,3,4,Lost
N,SRH,Lost,2,3,"MA Chidambaram Stadium, Chepauk, Chennai",Rohit Sharma,John Wright,4,2,4,Win
N,KXIP,Lost,2,3,OTHERS,Rohit Sharma,John Wright,3,3,4,Win
N,RCB,Won,2,4,OTHERS,Rohit Sharma,John Wright,3,3,4,Win
N,CSK,Lost,2,3,OTHERS,Rohit Sharma,John Wright,3,3,4,Win
N,SRH,Won,2,2,OTHERS,Kieron Pollard,John Wright,4,2,4,Win
N,KKR,Won,1,3,OTHERS,Kieron Pollard,John Wright,4,2,4,Lost
N,KXIP,Lost,2,2,OTHERS,Rohit Sharma,John Wright,4,1,5,Lost
N,DC,Lost,2,3,OTHERS,Rohit Sharma,John Wright,2,3,5,Win
N,RR,Lost,1,3,OTHERS,Rohit Sharma,John Wright,3,2,5,Win
N,CSK,Lost,2,3,"M.Chinnaswamy Stadium, Bengaluru",Rohit Sharma,John Wright,4,3,3,Win
D/N,RCB,Lost,2,3,OTHERS,Rohit Sharma,John Wright,4,3,3,Lost
N,CSK,Lost,2,2,OTHERS,Rohit Sharma,John Wright,4,4,2,Win
N,DC,Won,1,3,"Arun Jaitley Stadium, Delhi",Rohit Sharma,John Wright,3,3,4,Win
D/N,OTHERS,Lost,2,3,OTHERS,Rohit Sharma,John Wright,2,4,4,Lost
N,RR,Lost,2,3,"MA Chidambaram Stadium, Chepauk, Chennai",Rohit Sharma,John Wright,3,4,3,Win
N,DC,Won,2,4,"Eden Gardens, Kolkata",Rohit Sharma,John Wright,2,3,5,Lost
N,KKR,Lost,2,2,OTHERS,Rohit Sharma,John Wright,4,3,3,Lost
N,RCB,Won,1,3,OTHERS,Rohit Sharma,John Wright,2,4,4,Lost
N,KXIP,Won,2,3,OTHERS,Rohit Sharma,John Wright,4,3,3,Win
N,SRH,Won,2,3,"M.Chinnaswamy Stadium, Bengaluru",Rohit Sharma,John Wright,4,3,3,Lost
N,CSK,Won,2,3,OTHERS,Rohit Sharma,John Wright,3,3,4,Win
N,KKR,Lost,2,4,"Eden Gardens, Kolkata",Rohit Sharma,John Wright,2,4,4,Win
D/N,OTHERS,Lost,1,3,"Arun Jaitley Stadium, Delhi",Rohit Sharma,John Wright,6,2,2,Lost
N,SRH,Lost,2,3,OTHERS,Rohit Sharma,John Wright,4,2,4,Lost
D/N,RR,Won,2,2,"M.Chinnaswamy Stadium, Bengaluru",Rohit Sharma,John Wright,5,3,2,Win
N,KXIP,Won,2,3,OTHERS,Rohit Sharma,John Wright,4,2,4,Win
N,CSK,Lost,1,3,OTHERS,Rohit Sharma,John Wright,2,4,4,Win
N,RR,Lost,2,4,"Arun Jaitley Stadium, Delhi",Rohit Sharma,John Wright,5,1,4,Win
N,CSK,Won,1,2,OTHERS,Rohit Sharma,John Wright,4,3,3,Lost
N,CSK,Lost,2,3,"Eden Gardens, Kolkata",Rohit Sharma,Robin Singh,4,3,3,Win
N,OTHERS,Won,2,3,"Eden Gardens, Kolkata",Rohit Sharma,Robin Singh,1,5,4,Win
N,SRH,Lost,2,2,OTHERS,Rohit Sharma,Robin Singh,3,4,3,Lost
D/N,RR,Won,2,3,"Arun Jaitley Stadium, Delhi",Rohit Sharma,Robin Singh,5,2,3,Lost
N,DC,Lost,2,3,OTHERS,Rohit Sharma,Robin Singh,3,3,4,Win
N,KXIP,Won,2,3,OTHERS,Rohit Sharma,Robin Singh,3,3,4,Win
N,KXIP,Won,2,3,"M.Chinnaswamy Stadium, Bengaluru",Rohit Sharma,Robin Singh,4,3,3,Win
N,DC,Lost,2,3,OTHERS,Rohit Sharma,Robin Singh,3,3,4,Lost
N,SRH,Lost,2,3,"Eden Gardens, Kolkata",Rohit Sharma,Robin Singh,2,5,3,Lost
N,OTHERS,Won,1,3,OTHERS,Rohit Sharma,Robin Singh,3,4,3,Lost
N,CSK,Lost,2,4,"M.Chinnaswamy Stadium, Bengaluru",Rohit Sharma,Robin Singh,3,3,4,Win
N,RCB,Won,2,3,"Arun Jaitley Stadium, Delhi",Rohit Sharma,Robin Singh,4,2,4,Lost
D/N,KKR,Won,1,3,OTHERS,Rohit Sharma,Robin Singh,3,2,5,Win
N,RCB,Lost,1,3,"MA Chidambaram Stadium, Chepauk, Chennai",Rohit Sharma,Robin Singh,3,4,3,Win
N,KKR,Lost,1,2,OTHERS,Rohit Sharma,Robin Singh,4,2,4,Win
N,RR,Won,1,3,"Wankhede Stadium, Mumbai",Rohit Sharma,Robin Singh,3,4,3,Win
N,CSK,Lost,2,4,"Eden Gardens, Kolkata",Rohit Sharma,Robin Singh,3,4,3,Win
N,RCB,Won,1,2,OTHERS,Rohit Sharma,Robin Singh,3,4,3,Lost
N,OTHERS,Lost,1,3,OTHERS,Rohit Sharma,Robin Singh,4,2,4,Win
N,CSK,Lost,2,2,OTHERS,Rohit Sharma,Robin Singh,2,5,3,Lost
D/N,SRH,Won,1,3,OTHERS,Rohit Sharma,Robin Singh,2,5,3,Win
N,RR,Won,2,3,OTHERS,Rohit Sharma,Robin Singh,2,3,5,Win
N,KXIP,Won,2,3,"M.Chinnaswamy Stadium, Bengaluru",Ricky Ponting,Robin Singh,4,3,3,Lost
N,OTHERS,Won,1,2,"MA Chidambaram Stadium, Chepauk, Chennai",Ricky Ponting,Robin Singh,3,3,4,Win
N,DC,Lost,1,3,OTHERS,Ricky Ponting,Robin Singh,1,5,4,Lost
D/N,KXIP,Won,1,3,"Arun Jaitley Stadium, Delhi",Ricky Ponting,Robin Singh,3,3,4,Lost
N,SRH,Lost,1,3,"Eden Gardens, Kolkata",Rohit Sharma,Robin Singh,2,5,3,Win
D/N,RR,Won,1,2,OTHERS,Rohit Sharma,Robin Singh,4,4,2,Lost
D/N,KKR,Lost,1,2,OTHERS,Rohit Sharma,Robin Singh,4,3,3,Win
D/N,KKR,Won,2,3,OTHERS,Rohit Sharma,Robin Singh,3,2,5,Lost
